,occupancyPercent,Av. Henry Ford 25
0,popularTimesHistogram/Fr/0/occupancyPercent,0.0
1,popularTimesHistogram/Fr/1/occupancyPercent,7.0
2,popularTimesHistogram/Fr/2/occupancyPercent,20.0
3,popularTimesHistogram/Fr/3/occupancyPercent,33.0
4,popularTimesHistogram/Fr/4/occupancyPercent,45.0
5,popularTimesHistogram/Fr/5/occupancyPercent,50.0
6,popularTimesHistogram/Fr/6/occupancyPercent,49.0
7,popularTimesHistogram/Fr/7/occupancyPercent,42.0
8,popularTimesHistogram/Fr/8/occupancyPercent,38.0
9,popularTimesHistogram/Fr/9/occupancyPercent,55.0
10,popularTimesHistogram/Fr/10/occupancyPercent,90.0
11,popularTimesHistogram/Fr/11/occupancyPercent,100.0
12,popularTimesHistogram/Fr/12/occupancyPercent,62.0
13,popularTimesHistogram/Fr/13/occupancyPercent,26.0
14,popularTimesHistogram/Fr/14/occupancyPercent,20.0
15,popularTimesHistogram/Fr/15/occupancyPercent,26.0
16,popularTimesHistogram/Fr/16/occupancyPercent,22.0
