,totalScore,location/lat,location/lng
0,3.8,19.4708718,-99.1212501
1,3.8,19.5572864,-99.1349649
2,3.9,19.4277586,-99.0970873
3,4.2,20.5459841,-100.4143976
4,4.1,19.5709433,-99.1946232
5,3.8,19.344153,-99.058786
6,3.9,19.545538,-99.1614476
7,4.0,19.6830783,-98.9794085
8,4.2,19.4766487,-99.0359629
9,3.9,19.4921189,-99.0741202
10,4.0,19.4098488,-99.1220166
11,4.0,19.4962757,-99.1847351
12,3.9,19.2558545,-99.0113233
13,4.1,19.5586059,-99.2032969
14,4.2,19.4842688,-99.2417258
15,4.0,19.424423,-99.1126435
16,4.0,19.5128246,-99.0364478
17,4.0,19.4804406,-99.0651657
18,3.7,19.5412126,-99.06785
19,4.3,19.3940997,-99.2083448
20,4.0,19.512831,-99.0364813
21,4.1,20.6548807,-100.4743574
22,4.1,19.4917878,-99.0564608
23,4.2,19.4424308,-99.1750687
24,4.0,19.5156853,-98.8837341
25,4.1,19.3136925,-99.2590159
26,3.9,19.0306931,-98.1957621
27,4.1,19.3443254,-99.0252416
28,3.9,18.9945124,-98.2434433
29,3.8,19.3908108,-99.1271554
30,4.2,18.8126687,-98.9509528
31,4.1,19.5050207,-99.1250364
32,3.7,19.4950448,-99.1254333
33,3.3,19.5192973,-99.0334432
34,3.9,19.350851,-99.0751305
35,4.1,19.493869,-99.0679
36,4.0,19.4812143,-99.0453092
37,3.8,19.3296776,-99.0729112
38,4.4,19.267856,-99.638953
39,4.1,19.6019715,-98.99144
40,4.2,19.4986344,-99.2530253
41,3.7,19.5360902,-99.0905394
42,3.9,19.3646041,-98.9856257
43,2.1,19.6669792,-99.1755852
44,4.2,19.456836,-99.0930643
45,3.9,19.3060687,-99.2483291
46,4.3,19.4429828,-99.0991003
47,3.9,19.5309251,-99.0295335
48,3.8,19.3787896,-99.2206768
49,4.1,19.3586749,-98.976894
50,3.7,19.4239147,-99.0655609
51,3.4,19.5451172,-99.123244
52,4.2,19.5181474,-99.1081385
53,4.1,19.3559075,-99.2995917
54,3.3,19.2551343,-99.0566193
55,3.9,19.3001042,-99.1743435
56,3.8,19.3554463,-99.2409031
57,4.1,19.2673456,-99.1710835
58,4.3,19.28529,-99.5431265
59,4.1,19.0485614,-98.1963702
60,3.9,19.0588244,-98.2174526
61,4.2,19.4822216,-99.1862241
62,4.0,19.5292813,-99.1419348
63,3.8,19.5067149,-99.0896392
64,4.3,19.4784133,-99.0516916
65,3.8,19.5293873,-99.2051449
66,3.9,19.4607298,-99.113037
67,3.9,19.4282672,-99.0571518
68,3.8,19.3630398,-99.2485236
69,3.8,19.3911174,-99.1173597
70,3.8,19.4848807,-99.0936947
71,3.8,19.3871644,-99.2772799
72,4.1,19.3330842,-99.1727581
73,3.9,19.309916,-99.069963
74,3.9,19.3448928,-99.0680059
75,3.9,19.3728284,-99.2852437
76,4.0,19.3354384,-99.1672308
77,4.4,19.2974792,-99.1519954
78,3.6,19.3424494,-99.2260425
79,3.8,19.3480256,-99.2317044
80,3.9,19.3655677,-99.2872306
81,4.0,19.4660767,-99.0924728
82,4.0,19.5698504,-99.0548151
83,4.3,19.3902999,-99.2595085
84,3.9,19.3434722,-99.0356317
85,4.2,19.4079132,-99.1393087
86,4.1,19.3106207,-99.1627821
87,4.1,19.4781812,-99.1997498
88,3.8,19.3818952,-99.1164785
89,4.4,19.4293123,-99.228406
90,4.1,19.4952577,-99.1255584
91,4.2,19.3103552,-99.2288696
92,4.2,19.4016379,-99.202702
93,4.2,19.3507404,-99.2205455
94,3.9,19.4723885,-99.0676432
95,4.1,19.5993439,-99.0104408
96,4.1,19.2803547,-99.184048
97,4.1,19.485126,-99.2623324
98,4.3,19.3475562,-99.202412
99,4.2,19.2926252,-99.1785299
100,4.1,19.2820532,-99.1653437
101,3.9,19.4636112,-99.1002273
102,3.9,19.6206159,-99.084617
103,4.2,19.5349714,-99.2317323
104,4.0,19.4009646,-99.1337026
105,3.7,19.3704961,-99.1418073
106,4.1,19.3424263,-99.0449724
107,4.1,20.5455056,-100.3988257
108,3.7,19.4693143,-99.1399068
109,4.2,19.3396823,-99.1482932
110,4.2,19.4102104,-99.1748438
111,4.3,19.3496914,-99.1616984
112,4.1,20.6512079,-100.4038193
113,3.7,19.4024496,-99.1786456
114,4.4,19.3641336,-99.1926596
115,4.4,20.5873557,-100.3849852
116,4.1,19.3939269,-99.1592343
117,4.2,19.4148239,-99.104135
118,4.3,20.5979802,-100.3811756
119,3.7,18.8859017,-99.0613875
120,4.1,20.58737,-100.3846836
121,3.9,19.6250992,-99.3156357
122,3.3,20.5876335,-100.3849916
123,4.5,20.5872921,-100.3846738
124,4.3,19.3954062,-99.1367536
